country,sex,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Afghanistan,FEMALE,2020,2765,2642,2540,2252,1909,1499,1179,988,791,628,503,396,308,229,172,91,42,14,3,0,0
Albania,FEMALE,2020,80,80,75,93,111,115,101,76,77,90,96,103,95,74,56,45,28,13,4,1,0
Algeria,FEMALE,2020,2467,2269,1872,1426,1469,1762,1850,1765,1503,1220,1035,870,684,560,364,272,186,90,27,4,0
Angola,FEMALE,2020,2871,2536,2183,1781,1458,1231,1041,850,685,561,411,345,253,159,117,69,38,13,3,0,0
Antigua and Barbuda,FEMALE,2020,4,4,3,3,4,4,4,4,4,4,4,3,2,2,1,1,1,0,0,0,0
Argentina,FEMALE,2020,1833,1821,1766,1740,1715,1745,1660,1572,1572,1360,1198,1120,1007,899,758,578,406,251,114,28,3
Armenia,FEMALE,2020,97,100,93,79,84,121,141,128,104,89,93,114,113,77,51,26,38,14,6,1,0
Aruba,FEMALE,2020,3,3,3,4,4,4,3,3,4,4,4,5,4,3,2,2,1,0,0,0,0
Australia,FEMALE,2020,812,798,785,742,783,871,936,921,818,846,789,782,725,631,556,397,282,192,100,30,3
Austria,FEMALE,2020,218,206,205,219,246,295,305,308,281,307,356,347,298,237,220,215,153,90,47,13,1
Azerbaijan,FEMALE,2020,389,400,324,296,341,439,476,413,337,320,331,345,266,169,87,54,56,23,6,1,0
Bahamas,FEMALE,2020,13,13,16,16,17,17,14,14,14,15,13,13,10,6,4,3,2,1,0,0,0
Bahrain,FEMALE,2020,53,52,47,40,39,69,73,54,47,35,29,25,17,9,5,3,2,1,0,0,0
Bangladesh,FEMALE,2020,7008,7167,7382,7610,7497,7268,6984,6477,5672,4708,4040,3221,2129,1307,1150,884,534,266,99,24,4
Barbados,FEMALE,2020,7,8,9,9,9,9,9,10,10,11,10,11,10,8,6,5,4,2,1,0,0
Belarus,FEMALE,2020,271,289,236,216,207,319,397,356,332,331,317,410,380,353,170,181,165,81,35,6,0
Belgium,FEMALE,2020,307,323,326,312,320,356,371,379,370,374,390,397,371,327,295,212,189,138,67,18,2
Belize,FEMALE,2020,19,19,19,20,20,18,16,14,12,11,9,7,5,4,2,2,1,1,0,0,0
Benin,FEMALE,2020,940,832,734,638,553,471,393,328,274,227,187,150,116,86,65,43,21,8,2,0,0
Bhutan,FEMALE,2020,31,30,33,34,35,35,35,29,22,18,15,12,10,7,6,4,3,1,1,0,0
Bolivia (Plurinational State of),FEMALE,2020,580,577,568,557,524,481,433,383,335,287,243,205,172,145,118,90,60,35,16,5,1
Bosnia and Herzegovina,FEMALE,2020,65,79,88,81,105,91,106,119,109,112,117,140,126,118,81,60,53,16,7,2,0
Botswana,FEMALE,2020,134,132,122,111,101,100,97,95,80,60,43,38,35,27,17,12,6,2,1,0,0
Brazil,FEMALE,2020,7070,7137,7319,7965,8466,8419,8576,8735,7957,7079,6652,6090,5045,4034,2958,2011,1396,752,350,97,15
Brunei Darussalam,FEMALE,2020,15,17,15,16,17,16,18,18,17,16,14,11,8,6,3,2,1,1,0,0,0
Bulgaria,FEMALE,2020,152,164,180,152,145,189,233,228,259,257,236,238,248,255,250,176,124,67,19,3,0
Burkina Faso,FEMALE,2020,1706,1513,1336,1131,945,786,658,557,454,360,294,233,181,132,89,53,23,6,1,0,0
Burundi,FEMALE,2020,1016,903,752,608,524,498,442,335,227,158,140,124,106,74,39,25,13,5,1,0,0
Cabo Verde,FEMALE,2020,26,26,25,24,23,25,25,22,17,14,13,12,9,6,3,3,3,1,0,0,0
Cambodia,FEMALE,2020,872,859,801,727,754,780,639,851,334,422,391,356,277,219,133,80,40,16,4,1,0
Cameroon,FEMALE,2020,2038,1848,1648,1420,1206,1065,930,769,601,470,368,287,220,168,116,70,34,10,1,0,0
Canada,FEMALE,2020,972,966,969,971,1155,1344,1310,1330,1239,1194,1207,1378,1287,1103,925,658,459,313,169,53,7
Central African Republic,FEMALE,2020,366,347,332,298,241,179,138,112,93,80,67,55,45,33,23,15,8,3,0,0,0
Chad,FEMALE,2020,1455,1257,1090,926,766,622,494,389,304,237,185,152,125,99,60,37,19,7,2,0,0
Channel Islands,FEMALE,2020,4,4,4,5,5,6,6,6,6,7,7,6,5,5,4,3,2,2,1,0,0
Chile,FEMALE,2020,570,622,614,612,691,784,761,693,661,633,619,587,515,433,318,236,167,105,53,15,3
China,FEMALE,2020,39476,40415,38913,38239,40884,46466,62296,48746,46985,58664,61097,48782,38597,37623,23525,14337,9298,4739,1574,359,62
"China, Hong Kong SAR",FEMALE,2020,174,141,135,129,185,266,309,354,340,330,324,344,297,236,176,92,96,72,40,14,3
"China, Macao SAR",FEMALE,2020,18,16,12,11,18,26,36,32,22,28,27,29,22,17,10,5,4,3,2,0,0
"China, Taiwan Province of China",FEMALE,2020,487,501,469,581,721,784,796,963,1027,886,914,952,863,749,469,330,254,148,67,18,3
Colombia,FEMALE,2020,1812,1810,1895,2080,2175,2191,2025,1903,1773,1607,1537,1396,1129,913,650,446,298,166,70,19,3
Comoros,FEMALE,2020,61,56,50,44,39,35,31,27,21,17,14,12,9,6,4,3,1,0,0,0,0
Congo,FEMALE,2020,407,382,340,285,237,199,177,163,147,121,95,71,51,37,25,15,7,2,0,0,0
Costa Rica,FEMALE,2020,170,175,174,178,196,209,213,196,174,153,155,152,125,93,73,50,33,19,9,3,0
Côte d'Ivoire,FEMALE,2020,2053,1801,1594,1452,1274,1066,874,715,584,451,351,281,221,162,99,61,28,8,1,0,0
Croatia,FEMALE,2020,89,98,103,96,115,115,127,138,142,134,142,155,151,147,117,95,87,52,19,3,0
Cuba,FEMALE,2020,278,305,293,312,341,347,408,340,305,470,509,498,315,301,239,193,130,71,34,12,2
Curacao,FEMALE,2020,4,5,5,5,5,5,5,5,5,6,7,7,6,5,4,3,2,1,1,0,0
Cyprus,FEMALE,2020,31,33,33,35,44,46,47,47,45,40,39,36,33,28,24,18,13,7,3,1,0
Czechia,FEMALE,2020,272,270,279,238,230,310,349,369,453,424,341,328,331,364,342,246,148,96,39,9,0
Dem. People's Republic of Korea,FEMALE,2020,852,823,824,919,948,974,911,884,772,1077,1078,760,778,378,461,380,235,90,23,3,0
Democratic Republic of the Congo,FEMALE,2020,7836,6771,5722,4712,3861,3223,2681,2225,1833,1509,1235,991,774,581,429,269,135,50,12,2,0
Denmark,FEMALE,2020,150,145,164,166,182,197,174,158,180,190,208,195,175,159,180,126,83,48,25,8,1
Djibouti,FEMALE,2020,49,48,40,41,41,40,41,37,31,25,21,17,13,9,7,4,2,1,0,0,0
Dominican Republic,FEMALE,2020,491,488,479,470,462,456,416,366,337,308,277,243,200,152,108,74,52,30,13,5,1
Ecuador,FEMALE,2020,815,788,761,766,771,728,679,615,554,502,440,372,310,253,173,130,84,47,21,8,2
Egypt,FEMALE,2020,6169,5977,4698,4225,4105,3998,3999,3512,2979,2481,2144,1828,1510,1121,908,500,291,135,42,8,1
El Salvador,FEMALE,2020,281,279,283,292,322,307,260,230,217,196,174,153,128,109,81,63,43,22,8,2,0
Equatorial Guinea,FEMALE,2020,99,85,71,60,58,56,53,39,27,20,17,12,10,8,5,3,1,0,0,0,0
Eritrea,FEMALE,2020,242,233,238,183,142,143,134,96,72,72,46,43,35,33,26,17,9,4,1,0,0
Estonia,FEMALE,2020,33,36,36,30,28,41,48,45,43,47,39,47,47,49,33,36,31,18,8,2,0
Eswatini,FEMALE,2020,71,71,74,64,54,48,44,45,34,22,13,10,10,9,8,6,4,1,0,0,0
Ethiopia,FEMALE,2020,8271,7526,6854,6433,5816,4802,3758,3183,2488,2033,1661,1316,1110,833,649,401,203,85,22,3,0
Fiji,FEMALE,2020,43,43,41,37,35,34,33,33,28,24,23,22,18,12,8,5,2,1,0,0,0
Finland,FEMALE,2020,129,149,152,144,153,175,168,174,169,154,175,186,182,185,190,125,95,62,32,8,1
France,FEMALE,2020,1770,1912,1951,1902,1828,1852,2010,2074,2000,2213,2217,2192,2070,2006,1896,1222,1072,854,471,156,16
French Guiana,FEMALE,2020,17,15,14,14,13,11,10,11,10,9,8,6,5,4,2,2,1,0,0,0,0
French Polynesia,FEMALE,2020,10,9,11,10,11,9,12,11,9,10,9,8,6,5,3,3,1,1,0,0,0
Gabon,FEMALE,2020,158,139,114,96,89,93,93,76,58,47,37,28,21,16,12,9,5,2,0,0,0
Gambia,FEMALE,2020,203,175,149,128,115,102,82,64,51,40,35,26,17,13,10,6,2,1,0,0,0
Georgia,FEMALE,2020,130,137,120,102,110,132,146,140,136,131,131,151,140,123,92,64,66,26,10,2,0
Germany,FEMALE,2020,1976,1852,1832,1969,2171,2302,2619,2656,2508,2576,3328,3414,2966,2532,2043,2006,1900,1022,522,159,16
Ghana,FEMALE,2020,2040,1903,1703,1534,1398,1240,1108,945,803,699,596,480,346,224,160,89,40,12,2,0,0
Greece,FEMALE,2020,198,228,263,257,259,251,288,362,384,397,403,367,356,312,297,224,229,156,61,14,2
Grenada,FEMALE,2020,4,4,4,4,4,5,5,4,3,3,3,3,3,2,1,1,1,0,0,0,0
Guadeloupe,FEMALE,2020,11,11,14,15,14,9,9,11,13,16,17,17,15,13,11,8,6,4,2,1,0
Guam,FEMALE,2020,7,7,6,7,7,6,6,5,5,5,5,5,4,3,3,2,1,1,0,0,0
Guatemala,FEMALE,2020,1010,969,942,954,889,804,687,610,509,407,323,262,218,180,123,89,60,34,13,3,0
Guinea,FEMALE,2020,1043,927,838,748,645,530,430,351,284,233,197,170,142,111,66,40,18,5,1,0,0
Guinea-Bissau,FEMALE,2020,151,138,121,104,91,83,72,60,46,36,27,22,19,16,10,6,2,1,0,0,0
Guyana,FEMALE,2020,36,36,35,37,37,33,22,25,23,23,21,19,15,12,8,4,4,1,1,0,0
Haiti,FEMALE,2020,619,608,592,569,536,496,461,422,325,252,221,192,153,124,84,61,36,16,5,1,0
Honduras,FEMALE,2020,497,484,502,510,499,440,389,345,295,241,199,158,126,98,66,46,31,19,8,2,0
Hungary,FEMALE,2020,224,218,236,236,252,310,299,320,405,385,330,290,349,381,285,236,166,95,35,10,0
Iceland,FEMALE,2020,10,11,11,11,11,12,11,12,11,10,10,11,10,9,7,5,3,3,1,0,0
India,FEMALE,2020,55651,56105,59853,59375,57639,55358,53301,49466,43589,38684,33673,29106,24196,19092,12464,8021,4658,1956,556,131,31
Indonesia,FEMALE,2020,11566,11887,11175,11310,11028,10278,10018,10603,9787,8997,7947,6660,5245,3576,2525,1685,1002,385,113,17,1
Iran (Islamic Republic of),FEMALE,2020,3724,3362,3032,2700,2755,3404,4255,4152,3220,2556,2297,1851,1572,1136,738,435,245,115,29,4,0
Iraq,FEMALE,2020,2612,2542,2218,2023,1858,1647,1435,1214,1061,896,731,496,363,340,178,135,75,30,8,1,0
Ireland,FEMALE,2020,152,174,175,153,143,136,156,198,203,186,157,146,127,118,101,70,48,27,12,4,1
Israel,FEMALE,2020,413,400,359,325,304,280,279,279,273,251,212,194,184,188,154,94,73,51,26,7,1
Italy,FEMALE,2020,1127,1296,1387,1392,1416,1536,1663,1809,2097,2432,2488,2384,2051,1852,1805,1455,1344,893,453,133,13
Jamaica,FEMALE,2020,113,115,112,117,128,125,115,108,95,94,89,76,66,46,36,25,17,9,4,1,0
Japan,FEMALE,2020,2325,2628,2708,2776,2921,2999,3314,3748,4161,4916,4294,3918,3763,4283,4815,3897,3129,2348,1290,422,69
Jordan,FEMALE,2020,516,566,563,515,466,428,384,350,295,258,209,160,111,77,60,43,23,9,2,0,0
Kazakhstan,FEMALE,2020,930,947,779,545,536,733,843,670,603,569,519,576,458,380,201,159,152,45,18,3,0
Kenya,FEMALE,2020,3486,3461,3341,2989,2617,2191,2030,1743,1397,1088,822,628,477,351,220,117,65,25,4,0,0
Kiribati,FEMALE,2020,7,7,7,5,5,5,5,4,3,3,3,2,2,1,1,1,0,0,0,0,0
Kuwait,FEMALE,2020,141,148,135,101,94,89,140,186,174,161,119,70,49,23,14,7,4,1,0,0,0
Kyrgyzstan,FEMALE,2020,370,375,294,245,252,280,287,220,182,168,155,153,122,82,49,22,24,12,4,1,0
Lao People's Democratic Republic,FEMALE,2020,391,378,372,350,343,334,293,248,209,178,146,119,93,70,48,30,16,6,2,0,0
Latvia,FEMALE,2020,55,45,50,43,33,57,70,60,61,69,63,79,73,72,48,60,35,27,14,4,0
Lebanon,FEMALE,2020,277,279,265,285,299,303,282,259,229,203,177,137,115,107,69,41,36,20,5,1,0
Lesotho,FEMALE,2020,126,113,106,108,101,94,84,72,56,45,40,37,33,25,18,12,8,4,1,0,0
Liberia,FEMALE,2020,363,332,306,272,229,188,166,147,122,100,80,65,52,39,25,18,9,3,0,0,0
Libya,FEMALE,2020,303,322,304,274,266,274,293,288,277,237,182,125,86,64,43,33,20,8,2,0,0
Lithuania,FEMALE,2020,70,75,59,59,65,87,90,73,81,101,97,128,105,100,70,78,55,42,21,5,0
Luxembourg,FEMALE,2020,16,16,16,17,19,22,24,25,22,23,23,21,17,14,11,9,7,5,2,1,0
Madagascar,FEMALE,2020,2031,1808,1655,1503,1341,1115,917,771,658,543,439,353,277,205,122,76,41,17,4,1,0
Malawi,FEMALE,2020,1447,1357,1275,1088,925,782,663,510,414,325,255,197,154,115,91,58,29,9,2,0,0
Malaysia,FEMALE,2020,1279,1217,1188,1293,1389,1414,1417,1286,989,921,834,709,606,468,343,193,120,52,15,3,0
Maldives,FEMALE,2020,17,18,16,13,15,20,22,19,13,11,9,8,6,3,2,2,1,1,0,0,0
Mali,FEMALE,2020,1772,1551,1357,1110,880,712,584,499,419,337,256,194,154,123,80,51,21,6,1,0,0
Malta,FEMALE,2020,11,10,10,10,12,14,16,16,15,14,12,14,15,14,15,9,7,4,2,0,0
Martinique,FEMALE,2020,9,9,11,12,12,8,10,10,11,15,17,18,15,13,11,8,7,5,2,1,0
Mauritania,FEMALE,2020,339,304,265,232,205,183,165,141,117,94,76,61,47,34,24,15,8,3,1,0,0
Mauritius,FEMALE,2020,31,34,40,46,47,51,44,43,49,41,43,46,39,33,25,14,9,5,2,1,0
Mayotte,FEMALE,2020,18,17,17,15,12,10,10,9,8,6,5,4,3,2,1,1,1,0,0,0,0
Mexico,FEMALE,2020,5354,5479,5448,5515,5435,5412,5041,4746,4502,4233,3689,3091,2500,1938,1341,948,602,361,168,50,8
Micronesia (Fed. States of),FEMALE,2020,6,6,6,6,6,5,4,3,3,3,3,2,2,1,1,0,0,0,0,0,0
Mongolia,FEMALE,2020,185,179,139,108,114,135,155,126,113,102,88,79,55,34,21,15,8,4,1,0,0
Montenegro,FEMALE,2020,18,18,19,19,20,21,21,23,22,21,19,21,20,20,14,10,8,4,1,0,0
Morocco,FEMALE,2020,1619,1670,1522,1451,1409,1487,1444,1423,1249,1117,1009,916,791,587,342,284,186,74,14,1,0
Mozambique,FEMALE,2020,2566,2273,2028,1781,1473,1211,1002,848,686,558,453,355,275,219,163,103,53,18,3,0,0
Myanmar,FEMALE,2020,2232,2241,2413,2531,2392,2234,2116,2020,1958,1832,1644,1389,1159,911,523,323,179,73,18,2,0
Namibia,FEMALE,2020,168,159,141,123,124,117,101,82,67,56,45,38,30,22,15,11,6,3,1,0,0
Nepal,FEMALE,2020,1321,1370,1457,1584,1685,1530,1293,1120,991,826,684,559,441,352,264,187,83,31,8,1,0
Netherlands,FEMALE,2020,419,435,456,494,498,528,532,505,501,574,634,620,563,510,488,337,246,161,73,21,2
New Caledonia,FEMALE,2020,10,11,11,11,11,9,10,10,10,10,9,8,7,5,4,3,2,1,0,0,0
New Zealand,FEMALE,2020,147,153,156,149,158,168,163,153,145,165,163,164,146,124,110,78,54,32,17,5,1
Nicaragua,FEMALE,2020,321,321,309,291,284,287,276,260,222,185,150,128,110,84,47,38,25,14,6,2,0
Niger,FEMALE,2020,2347,1952,1606,1295,1024,800,641,540,441,357,296,236,181,132,99,59,24,6,1,0,0
Nigeria,FEMALE,2020,16561,14626,12633,10759,8898,7448,6431,5578,4673,3771,2996,2426,1892,1369,901,480,179,41,5,0,0
North Macedonia,FEMALE,2020,54,56,54,59,63,74,79,80,76,72,72,70,66,61,44,31,21,9,2,0,0
Norway,FEMALE,2020,146,152,156,157,171,181,184,175,167,183,183,163,154,138,136,95,64,44,23,8,1
Oman,FEMALE,2020,222,187,150,121,129,177,199,160,116,78,58,40,33,26,17,13,6,3,2,1,0
Pakistan,FEMALE,2020,13454,12273,11297,10533,10030,9337,8221,6853,5693,4728,4054,3406,2613,1802,1334,914,467,172,36,4,0
Panama,FEMALE,2020,190,188,181,175,172,163,158,150,144,134,118,101,82,64,48,36,24,15,7,3,1
Papua New Guinea,FEMALE,2020,535,504,481,447,407,350,311,286,250,211,174,142,112,82,48,25,11,3,1,0,0
Paraguay,FEMALE,2020,342,334,331,322,331,315,291,251,198,157,144,128,109,91,65,46,30,14,6,1,0
Peru,FEMALE,2020,1383,1303,1370,1257,1399,1406,1320,1229,1120,998,892,764,630,528,379,280,184,103,37,9,1
Philippines,FEMALE,2020,5166,5552,5329,5055,4913,4672,4080,3610,3255,2876,2578,2174,1778,1349,952,597,378,166,59,13,2
Poland,FEMALE,2020,918,926,963,853,971,1202,1356,1533,1456,1285,1128,1196,1445,1354,1076,645,585,392,177,44,4
Portugal,FEMALE,2020,194,214,240,257,270,271,287,337,396,420,389,391,360,337,314,260,213,146,61,15,2
Puerto Rico,FEMALE,2020,41,76,102,86,64,71,78,90,102,109,116,112,109,95,90,66,47,30,15,6,1
Qatar,FEMALE,2020,66,66,59,48,48,73,94,87,58,42,31,19,11,6,4,2,1,1,0,0,0
Republic of Korea,FEMALE,2020,923,1098,1102,1187,1533,1629,1549,1823,1909,2107,2147,2079,1919,1391,1068,898,680,379,143,35,4
Republic of Moldova,FEMALE,2020,99,107,105,98,118,162,206,175,152,135,125,157,146,136,64,53,38,19,7,1,0
Réunion,FEMALE,2020,32,33,33,35,31,28,26,28,31,31,34,31,26,21,15,11,8,5,2,1,0
Romania,FEMALE,2020,457,469,525,483,487,514,667,576,750,740,764,537,694,698,542,371,353,181,62,11,1
Russian Federation,FEMALE,2020,4509,4549,3988,3461,3241,4417,6243,6014,5477,5096,4551,5757,5848,5172,3468,2222,2565,1071,546,91,9
Rwanda,FEMALE,2020,935,835,777,681,597,525,494,444,317,244,179,186,136,103,65,41,16,10,1,0,0
Saint Lucia,FEMALE,2020,5,5,6,7,8,8,7,7,7,7,6,6,4,3,3,2,1,1,0,0,0
Saint Vincent and the Grenadines,FEMALE,2020,4,4,4,4,5,4,4,4,4,3,3,3,3,2,1,1,1,0,0,0,0
Samoa,FEMALE,2020,13,12,11,9,8,7,5,5,5,5,4,4,3,2,2,1,1,0,0,0,0
Sao Tome and Principe,FEMALE,2020,16,15,14,12,9,7,7,6,6,4,4,3,2,2,1,1,0,0,0,0,0
Saudi Arabia,FEMALE,2020,1468,1467,1301,1090,1105,1358,1417,1333,1284,969,607,426,287,239,142,99,56,24,8,2,0
Senegal,FEMALE,2020,1289,1192,1037,875,760,664,579,503,408,329,262,208,164,126,85,55,27,9,1,0,0
Serbia,FEMALE,2020,202,211,235,248,256,278,300,295,311,307,290,285,289,323,259,155,126,67,19,2,0
Seychelles,FEMALE,2020,4,4,4,3,3,3,3,3,3,4,3,3,2,2,1,1,1,0,0,0,0
Sierra Leone,FEMALE,2020,578,533,495,436,376,323,272,227,183,149,120,95,73,55,39,24,11,4,1,0,0
Singapore,FEMALE,2020,124,107,118,128,178,197,204,224,228,232,218,220,205,166,100,55,43,25,12,3,1
Slovakia,FEMALE,2020,139,138,138,128,142,178,201,213,223,199,175,187,192,184,138,102,68,40,14,2,0
Slovenia,FEMALE,2020,49,53,51,45,46,53,64,71,75,70,74,74,73,71,52,46,37,26,11,2,0
Solomon Islands,FEMALE,2020,50,45,38,34,29,25,21,20,19,16,11,9,7,5,4,3,1,1,0,0,0
Somalia,FEMALE,2020,1403,1187,1054,906,766,583,438,339,288,256,212,168,132,101,69,40,20,7,2,0,0
South Africa,FEMALE,2020,2846,2877,2721,2441,2447,2589,2664,2378,1917,1655,1401,1184,990,785,536,368,203,75,14,1,0
South Sudan,FEMALE,2020,843,760,682,595,528,450,372,296,247,204,169,136,106,77,60,38,19,7,2,0,0
Spain,FEMALE,2020,964,1088,1207,1087,1101,1158,1303,1647,1974,1925,1804,1730,1513,1253,1181,1005,758,661,323,84,11
Sri Lanka,FEMALE,2020,816,834,857,834,753,732,729,786,794,697,677,648,601,494,415,254,130,68,23,3,0
State of Palestine,FEMALE,2020,338,328,290,254,245,229,182,145,122,100,83,66,45,34,24,16,9,3,1,0,0
Sudan,FEMALE,2020,3123,2855,2626,2372,2058,1720,1405,1231,1049,874,728,581,456,348,242,151,79,32,9,2,0
Suriname,FEMALE,2020,25,25,25,24,24,23,21,20,18,19,16,16,11,8,6,4,3,1,1,0,0
Sweden,FEMALE,2020,292,288,285,264,264,359,340,306,299,323,334,305,283,266,289,224,150,99,52,16,2
Switzerland,FEMALE,2020,221,211,200,208,238,274,296,310,284,296,335,320,265,226,220,179,131,89,47,12,1
Syrian Arab Republic,FEMALE,2020,940,841,858,772,785,730,749,700,562,429,356,309,243,191,111,83,49,25,7,1,0
Tajikistan,FEMALE,2020,659,594,475,395,408,402,395,302,238,210,192,170,128,75,42,21,17,6,2,0,0
Thailand,FEMALE,2020,1746,1867,1997,2134,2358,2395,2235,2401,2728,2925,2940,2677,2329,1764,1269,901,634,349,144,35,6
Timor-Leste,FEMALE,2020,87,75,76,75,64,57,45,34,23,27,24,20,15,10,9,6,3,1,0,0,0
Togo,FEMALE,2020,608,559,510,444,371,315,284,249,209,168,131,102,78,58,39,22,9,2,0,0,0
Tonga,FEMALE,2020,6,6,6,5,5,4,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0
Trinidad and Tobago,FEMALE,2020,43,47,47,44,42,48,58,63,51,46,42,48,39,32,24,17,10,5,2,0,0
Tunisia,FEMALE,2020,489,492,411,378,395,447,479,501,439,373,372,329,275,222,138,97,71,37,10,2,0
Turkey,FEMALE,2020,3210,3349,3311,3333,3321,3159,3176,3192,3031,2777,2439,2164,1865,1534,1109,799,522,300,95,15,1
Turkmenistan,FEMALE,2020,326,331,259,240,228,272,263,219,192,164,146,138,113,77,40,20,20,9,3,1,0
Uganda,FEMALE,2020,3858,3499,3072,2621,2205,1831,1483,1175,919,706,550,417,313,234,157,94,42,16,3,0,0
Ukraine,FEMALE,2020,1026,1201,1166,959,1045,1344,1760,1795,1710,1596,1504,1724,1702,1613,1136,838,867,308,152,23,2
United Arab Emirates,FEMALE,2020,244,251,222,189,229,351,474,407,238,158,121,86,42,20,12,5,3,2,0,0,0
United Kingdom,FEMALE,2020,1915,2011,1934,1806,2002,2209,2346,2308,2160,2168,2353,2307,1985,1734,1764,1305,970,639,321,96,13
United Republic of Tanzania,FEMALE,2020,4814,4262,3785,3192,2622,2289,1956,1635,1345,1073,842,655,503,370,272,162,77,24,4,0,0
United States of America,FEMALE,2020,9621,9799,10312,10409,10936,11691,11350,10757,10176,10085,10258,10840,10619,9354,7709,5401,3656,2372,1348,448,76
United States Virgin Islands,FEMALE,2020,3,3,4,3,3,3,3,3,3,3,4,4,4,4,3,2,1,1,0,0,0
Uruguay,FEMALE,2020,116,116,114,120,125,127,119,111,118,112,102,102,96,81,70,58,46,34,20,8,2
Uzbekistan,FEMALE,2020,1665,1598,1425,1239,1363,1549,1507,1282,1067,936,819,797,623,416,195,130,99,44,16,3,0
Vanuatu,FEMALE,2020,20,19,18,14,13,13,12,9,8,6,6,4,3,2,2,1,1,0,0,0,0
Venezuela (Bolivarian Republic of),FEMALE,2020,1161,1336,1298,1226,1047,1025,1056,1011,964,875,827,738,620,462,330,218,136,75,34,11,2
Viet Nam,FEMALE,2020,3728,3581,3364,3136,3320,4206,4158,3848,3508,3272,2960,2712,2319,1672,987,704,563,416,196,73,18
